index,Fish,Word,Average Rating,Star,Star Rating Count,Star Variance
0,Salmon,wild,4.150753768844221,1,10,-0.001348950632636072
1,Salmon,wild,4.150753768844221,2,8,-0.0016097598516288112
2,Salmon,wild,4.150753768844221,3,38,-0.0017889364681438606
3,Salmon,wild,4.150753768844221,4,29,0.0011375304573865291
4,Salmon,wild,4.150753768844221,5,114,0.0020234066474733863
5,Salmon,little,4.117241379310345,1,8,-0.0025088107153672396
6,Salmon,little,4.117241379310345,2,3,0.005460271294891067
7,Salmon,little,4.117241379310345,3,26,0.01633409297127089
8,Salmon,little,4.117241379310345,4,35,0.0021023710859061386
9,Salmon,little,4.117241379310345,5,73,-0.009103552187950979
10,Salmon,fresh,4.198198198198198,1,8,-0.0038422726207317376
11,Salmon,fresh,4.198198198198198,2,3,-0.0034734699893437756
12,Salmon,fresh,4.198198198198198,3,15,-0.0039513311763644775
13,Salmon,fresh,4.198198198198198,4,18,0.003211669510631945
14,Salmon,fresh,4.198198198198198,5,67,0.004138400452429414
15,Salmon,healthy,4.660550458715596,1,1,-0.013278298787871737
16,Salmon,healthy,4.660550458715596,2,2,-0.013483092248222995
17,Salmon,healthy,4.660550458715596,3,4,-0.01441000658171629
18,Salmon,healthy,4.660550458715596,4,19,0.015862833503894478
19,Salmon,healthy,4.660550458715596,5,83,0.012301252695374512
20,Salmon,alaskan,4.163265306122449,1,9,0.0013743556652060036
21,Salmon,alaskan,4.163265306122449,2,2,0.0002975739909256402
22,Salmon,alaskan,4.163265306122449,3,17,0.0012010488086794098
23,Salmon,alaskan,4.163265306122449,4,6,-0.0006593897929223143
24,Salmon,alaskan,4.163265306122449,5,64,-0.0006583268314657286
25,Salmon,easy,4.516483516483516,1,2,-0.016676882101228408
26,Salmon,easy,4.516483516483516,2,4,-0.015503535854509918
27,Salmon,easy,4.516483516483516,3,3,-0.017297209518055346
28,Salmon,easy,4.516483516483516,4,18,0.014778919900898463
29,Salmon,easy,4.516483516483516,5,64,0.017800702407292816
30,Salmon,much,3.9186046511627906,1,6,-0.003235935619927619
31,Salmon,much,3.9186046511627906,2,10,0.008169989467654737
32,Salmon,much,3.9186046511627906,3,10,0.003660300441653349
33,Salmon,much,3.9186046511627906,4,19,-0.0029626271650465214
34,Salmon,much,3.9186046511627906,5,41,-0.003295145083410063
35,Salmon,pouch,4.309523809523809,1,4,0.0047910386380324525
36,Salmon,pouch,4.309523809523809,2,5,-0.0009296625342524892
37,Salmon,pouch,4.309523809523809,3,5,-0.004340151312413116
38,Salmon,pouch,4.309523809523809,4,17,-0.002423096382609919
39,Salmon,pouch,4.309523809523809,5,53,0.0028088745265759407
40,Salmon,high,4.240963855421687,1,6,-0.0058185390751231345
41,Salmon,high,4.240963855421687,2,5,-0.007175179263949351
42,Salmon,high,4.240963855421687,3,6,-0.01762385233700616
43,Salmon,high,4.240963855421687,4,12,0.003018370579013266
44,Salmon,high,4.240963855421687,5,54,0.010217862352402409
45,Salmon,low,4.383561643835616,1,6,0.005069640958126174
46,Salmon,low,4.383561643835616,2,0,0.008449682434862452
47,Salmon,low,4.383561643835616,3,5,0.003621211678311579
48,Salmon,low,4.383561643835616,4,11,-0.005730108455320861
49,Salmon,low,4.383561643835616,5,51,-0.008598544360289687
50,Salmon,open,4.15625,1,6,-0.0004377183661616806
51,Salmon,open,4.15625,2,3,-0.002443861881085242
52,Salmon,open,4.15625,3,5,-0.002965891063355545
53,Salmon,open,4.15625,4,11,9.032113524662983e-05
54,Salmon,open,4.15625,5,39,0.0042495808212753014
55,Salmon,small,3.338709677419355,1,14,-0.0014740979971521863
56,Salmon,small,3.338709677419355,2,6,0.007272796591336076
57,Salmon,small,3.338709677419355,3,10,0.014243130003645766
58,Salmon,small,3.338709677419355,4,9,0.003375670291743399
59,Salmon,small,3.338709677419355,5,23,-0.014504233741690204
60,Salmon,quick,4.7368421052631575,1,1,-0.013255538812061629
61,Salmon,quick,4.7368421052631575,2,1,-0.009073572431172065
62,Salmon,quick,4.7368421052631575,3,2,-0.010418452879306022
63,Salmon,quick,4.7368421052631575,4,4,0.013182349678531692
64,Salmon,quick,4.7368421052631575,5,49,0.00840554531678951
65,Salmon,salad,4.767857142857143,1,0,-0.0005563028826609301
66,Salmon,salad,4.767857142857143,2,0,-0.0006666967806248104
67,Salmon,salad,4.767857142857143,3,2,0.0005273571615137817
68,Salmon,salad,4.767857142857143,4,9,0.001160123785328124
69,Salmon,salad,4.767857142857143,5,45,0.0006278699939076763
70,Salmon,many,4.245283018867925,1,3,-0.0046362520588644545
71,Salmon,many,4.245283018867925,2,3,0.0022185695722600506
72,Salmon,many,4.245283018867925,3,6,0.0008689480317894575
73,Salmon,many,4.245283018867925,4,7,0.00026480970669611565
74,Salmon,many,4.245283018867925,5,34,-2.5663907088325403e-05
75,Salmon,natural,3.764705882352941,1,5,-0.0036840985586027407
76,Salmon,natural,3.764705882352941,2,6,-0.002189654144329784
77,Salmon,natural,3.764705882352941,3,11,-0.005533414459088199
78,Salmon,natural,3.764705882352941,4,3,0.0024541075336288465
79,Salmon,natural,3.764705882352941,5,26,0.002262110399635856
80,Salmon,local,3.9019607843137254,1,9,0.0009327906142013179
81,Salmon,local,3.9019607843137254,2,2,0.0010362209773184688
82,Salmon,local,3.9019607843137254,3,1,0.0026049245187087116
83,Salmon,local,3.9019607843137254,4,12,0.0007984277127406694
84,Salmon,local,3.9019607843137254,5,27,-0.0009574639608948129
85,Salmon,red,4.16,1,5,0.003517918608762728
86,Salmon,red,4.16,2,1,0.0025359839713013066
87,Salmon,red,4.16,3,6,0.00010842508978219271
88,Salmon,red,4.16,4,7,-0.001969358880599091
89,Salmon,red,4.16,5,31,-0.003436575235741694
90,Salmon,canned,4.08,1,3,-0.0023920496610829473
91,Salmon,canned,4.08,2,7,-0.002206365135453909
92,Salmon,canned,4.08,3,3,-0.002938158908760753
93,Salmon,canned,4.08,4,7,0.002660521937921241
94,Salmon,canned,4.08,5,30,0.002901428885855738
95,Salmon,perfect,4.73469387755102,1,0,-0.03134866529669309
96,Salmon,perfect,4.73469387755102,2,0,-0.03706600410931725
97,Salmon,perfect,4.73469387755102,3,1,-0.09295453396201887
98,Salmon,perfect,4.73469387755102,4,11,0.01712888507321057
99,Salmon,perfect,4.73469387755102,5,37,0.04446722490607566
100,Salmon,smoked,3.872340425531915,1,4,0.006605349831453799
101,Salmon,smoked,3.872340425531915,2,9,0.0012342242677753
102,Salmon,smoked,3.872340425531915,3,1,-0.004569389012115778
103,Salmon,smoked,3.872340425531915,4,8,-0.005087129627884068
104,Salmon,smoked,3.872340425531915,5,25,9.835834984243993e-05
105,Salmon,dry,3.0851063829787235,1,5,0.010118352769431918
106,Salmon,dry,3.0851063829787235,2,10,0.009379875070380699
107,Salmon,dry,3.0851063829787235,3,16,0.0028046303314158594
108,Salmon,dry,3.0851063829787235,4,8,-0.00596575144563331
109,Salmon,dry,3.0851063829787235,5,8,-0.012245680411034559
110,Salmon,free,3.5434782608695654,1,9,-0.004524095298930541
111,Salmon,free,3.5434782608695654,2,4,-0.006348671383729894
112,Salmon,free,3.5434782608695654,3,6,-0.00579168592748194
113,Salmon,free,3.5434782608695654,4,7,0.004576073351923576
114,Salmon,free,3.5434782608695654,5,20,0.006484756141409291
115,Salmon,different,3.6444444444444444,1,7,-0.005361842501626114
116,Salmon,different,3.6444444444444444,2,3,-0.00016804760536627824
117,Salmon,different,3.6444444444444444,3,10,0.00359526419886295
118,Salmon,different,3.6444444444444444,4,4,0.0025396920540814412
119,Salmon,different,3.6444444444444444,5,21,0.00032557610791864033
120,Salmon,expensive,4.441860465116279,1,1,0.03075860170754465
121,Salmon,expensive,4.441860465116279,2,3,0.03258976016878924
122,Salmon,expensive,4.441860465116279,3,2,0.020466133282071843
123,Salmon,expensive,4.441860465116279,4,7,-0.034053166023990715
124,Salmon,expensive,4.441860465116279,5,30,-0.026344520556895668
125,Salmon,whole,3.697674418604651,1,7,0.0024207009743831658
126,Salmon,whole,3.697674418604651,2,2,6.156268242585346e-05
127,Salmon,whole,3.697674418604651,3,8,-0.004050730862498519
128,Salmon,whole,3.697674418604651,4,6,-0.0023315662781034957
129,Salmon,whole,3.697674418604651,5,20,0.0007016545527827295
130,Salmon,skin,3.8,1,5,-0.0023974710965654423
131,Salmon,skin,3.8,2,4,-0.0008945830210205067
132,Salmon,skin,3.8,3,5,-0.0005051259383902978
133,Salmon,skin,3.8,4,6,0.0015823271973663543
134,Salmon,skin,3.8,5,20,0.0007204197496445848
135,Salmon,sandwich,4.6,1,1,-0.0013256047047007118
136,Salmon,sandwich,4.6,2,0,-0.0005682931531398805
137,Salmon,sandwich,4.6,3,2,0.0011732678702304478
138,Salmon,sandwich,4.6,4,8,0.0020008774928444136
139,Salmon,sandwich,4.6,5,29,-0.0001147769610825521
140,Salmon,amazon,4.184210526315789,1,3,0.018155828051856792
141,Salmon,amazon,4.184210526315789,2,3,0.003355825113215024
142,Salmon,amazon,4.184210526315789,3,4,-0.0008356070271565134
143,Salmon,amazon,4.184210526315789,4,2,-0.017464348692858806
144,Salmon,amazon,4.184210526315789,5,26,0.0006413283318701703
145,Salmon,crown,3.675675675675676,1,7,0.0015136552575250402
146,Salmon,crown,3.675675675675676,2,1,0.0007871211697839852
147,Salmon,crown,3.675675675675676,3,7,8.006690114436169e-05
148,Salmon,crown,3.675675675675676,4,4,-0.001974969158957168
149,Salmon,crown,3.675675675675676,5,18,-0.0001318644859273773
150,Salmon,real,4.305555555555555,1,4,0.0037383098654818203
151,Salmon,real,4.305555555555555,2,2,-0.0027730808249738998
152,Salmon,real,4.305555555555555,3,1,-0.014089944817709456
153,Salmon,real,4.305555555555555,4,1,-0.003857511661556393
154,Salmon,real,4.305555555555555,5,28,0.004130606239559267
155,Salmon,omega,4.638888888888889,1,0,-0.0017236673595908815
156,Salmon,omega,4.638888888888889,2,0,-0.002384081278334696
157,Salmon,omega,4.638888888888889,3,2,-0.006726815995815473
158,Salmon,omega,4.638888888888889,4,9,0.003385307391077845
159,Salmon,omega,4.638888888888889,5,25,0.004160769849669535
160,Salmon,last,4.114285714285714,1,3,0.0008238341349011405
161,Salmon,last,4.114285714285714,2,2,0.0001617228450553496
162,Salmon,last,4.114285714285714,3,2,-0.003854201127194055
163,Salmon,last,4.114285714285714,4,9,-0.0004923210637915952
164,Salmon,last,4.114285714285714,5,19,0.0025165504562140997
165,Salmon,seabear,4.393939393939394,1,0,0.001144978279094778
166,Salmon,seabear,4.393939393939394,2,1,0.0008174645053461393
167,Salmon,seabear,4.393939393939394,3,0,0.0030470650160716118
168,Salmon,seabear,4.393939393939394,4,17,-0.000374188342430059
169,Salmon,seabear,4.393939393939394,5,15,-0.001169231086220456
170,Salmon,sure,3.53125,1,3,-0.004139632376200347
171,Salmon,sure,3.53125,2,7,-0.003485823525012062
172,Salmon,sure,3.53125,3,3,-0.001209008421726356
173,Salmon,sure,3.53125,4,8,0.00573956789557106
174,Salmon,sure,3.53125,5,11,0.004117573735796011
175,Salmon,big,3.78125,1,4,-0.013810014529394786
176,Salmon,big,3.78125,2,3,-0.007207300189715787
177,Salmon,big,3.78125,3,5,-0.008742817353122245
178,Salmon,big,3.78125,4,4,0.010148333910144015
179,Salmon,big,3.78125,5,16,0.008282744464998765
180,Salmon,fishy,4.064516129032258,1,0,0.0013800019453193001
181,Salmon,fishy,4.064516129032258,2,5,-0.0014233551423650185
182,Salmon,fishy,4.064516129032258,3,4,-0.003113568282643065
183,Salmon,fishy,4.064516129032258,4,6,0.0008081228668368709
184,Salmon,fishy,4.064516129032258,5,16,0.0024015031321971167
185,Salmon,worth,3.903225806451613,1,6,-0.028781592629901445
186,Salmon,worth,3.903225806451613,2,0,-0.027388341569506522
187,Salmon,worth,3.903225806451613,3,1,-0.015613478210694202
188,Salmon,worth,3.903225806451613,4,8,0.03099895311777519
189,Salmon,worth,3.903225806451613,5,16,0.028431712451788594
190,Salmon,tuna,3.533333333333333,1,3,0.003907559506977556
191,Salmon,tuna,3.533333333333333,2,4,0.0009211094142174216
192,Salmon,tuna,3.533333333333333,3,8,-0.0017594451110168993
193,Salmon,tuna,3.533333333333333,4,4,-0.0025870757296124315
194,Salmon,tuna,3.533333333333333,5,11,-0.0011196023370507882
195,Salmon,top,4.233333333333333,1,3,-0.003187614919238602
196,Salmon,top,4.233333333333333,2,0,-0.0024095685546557774
197,Salmon,top,4.233333333333333,3,2,-0.003724828673575701
198,Salmon,top,4.233333333333333,4,7,0.0018653735042221701
199,Salmon,top,4.233333333333333,5,18,0.0034313190327885995
200,Salmon,right,4.566666666666666,1,1,-0.00030001546640619865
201,Salmon,right,4.566666666666666,2,1,-0.005781154255106362
202,Salmon,right,4.566666666666666,3,1,-0.013889556130226374
203,Salmon,right,4.566666666666666,4,4,-0.0002875004076990163
204,Salmon,right,4.566666666666666,5,23,0.008527728171376972
205,Salmon,strong,3.7,1,3,-0.018887135131707478
206,Salmon,strong,3.7,2,3,-0.011229164781669408
207,Salmon,strong,3.7,3,5,0.0025063892291444464
208,Salmon,strong,3.7,4,8,0.01678561842601286
209,Salmon,strong,3.7,5,11,0.013421154001685
210,Salmon,happy,4.448275862068965,1,3,-0.03921485910580382
211,Salmon,happy,4.448275862068965,2,0,-0.0286167840660517
212,Salmon,happy,4.448275862068965,3,0,-0.01601331725264023
213,Salmon,happy,4.448275862068965,4,4,0.03600537154488701
214,Salmon,happy,4.448275862068965,5,22,0.026353564146567334
215,Salmon,large,4.0344827586206895,1,4,-0.0060470612237604904
216,Salmon,large,4.0344827586206895,2,0,-0.003004007770799961
217,Salmon,large,4.0344827586206895,3,4,0.0014975770104294817
218,Salmon,large,4.0344827586206895,4,4,0.004983024495721886
219,Salmon,large,4.0344827586206895,5,17,0.003833638569946519
220,Salmon,mixed,4.142857142857143,1,3,0.0010141909129646944
221,Salmon,mixed,4.142857142857143,2,1,0.008585447378335076
222,Salmon,mixed,4.142857142857143,3,2,0.013001996519844572
223,Salmon,mixed,4.142857142857143,4,5,-0.0011474284350026025
224,Salmon,mixed,4.142857142857143,5,17,-0.011102819459078636
225,Salmon,pink,3.9285714285714284,1,3,-0.0001085539763010556
226,Salmon,pink,3.9285714285714284,2,1,-0.0005671450292207412
227,Salmon,pink,3.9285714285714284,3,6,0.0004987560171417096
228,Salmon,pink,3.9285714285714284,4,3,8.70309629391217e-05
229,Salmon,pink,3.9285714285714284,5,15,0.0005934454832567965
230,Salmon,extra,4.346153846153846,1,0,-0.005595038150080473
231,Salmon,extra,4.346153846153846,2,1,-0.004144570363796644
232,Salmon,extra,4.346153846153846,3,1,-0.0016852478060309384
233,Salmon,extra,4.346153846153846,4,12,0.00364075802072791
234,Salmon,extra,4.346153846153846,5,12,0.00473772878008623
235,Salmon,fat,4.0,1,1,-0.0017062938079937704
